datetime,event_type
1550-03-13T03:30:50+00:00,Penumbral lunar eclipse
1550-04-11T12:53:55+00:00,Penumbral lunar eclipse
1550-09-06T05:10:43+00:00,Penumbral lunar eclipse
1551-03-02T19:42:27+00:00,Total lunar eclipse
1551-08-26T06:09:07+00:00,Partial lunar eclipse
1552-02-20T09:58:01+00:00,Total lunar eclipse
1552-08-14T13:21:53+00:00,Total lunar eclipse
1553-02-08T18:03:07+00:00,Penumbral lunar eclipse
1553-07-05T20:28:24+00:00,Penumbral lunar eclipse
1553-08-04T03:23:28+00:00,Partial lunar eclipse
1553-12-29T23:48:35+00:00,Penumbral lunar eclipse
1554-06-25T13:27:14+00:00,Partial lunar eclipse
1554-12-19T01:33:42+00:00,Partial lunar eclipse
1555-06-15T02:34:09+00:00,Total lunar eclipse
1555-12-08T10:34:06+00:00,Total lunar eclipse
1556-06-03T08:35:20+00:00,Partial lunar eclipse
1556-11-27T01:06:09+00:00,Partial lunar eclipse
1557-04-23T18:13:27+00:00,Penumbral lunar eclipse
1557-05-23T09:22:18+00:00,Penumbral lunar eclipse
1557-10-18T05:47:13+00:00,Penumbral lunar eclipse
1557-11-16T16:44:14+00:00,Penumbral lunar eclipse
1558-04-12T23:44:26+00:00,Partial lunar eclipse
1558-10-07T14:52:23+00:00,Partial lunar eclipse
1559-04-02T12:12:34+00:00,Total lunar eclipse
1559-09-26T17:00:16+00:00,Total lunar eclipse
1560-03-22T04:25:43+00:00,Partial lunar eclipse
1560-09-14T17:08:05+00:00,Partial lunar eclipse
1561-02-10T07:50:19+00:00,Penumbral lunar eclipse
1561-08-05T12:13:05+00:00,Penumbral lunar eclipse
1562-01-30T13:42:56+00:00,Total lunar eclipse
1562-07-26T03:35:35+00:00,Total lunar eclipse
1563-01-19T13:27:43+00:00,Total lunar eclipse
1563-07-15T20:45:42+00:00,Total lunar eclipse
1564-01-08T13:59:07+00:00,Partial lunar eclipse
1564-06-05T00:36:21+00:00,Penumbral lunar eclipse
1564-07-04T11:02:23+00:00,Penumbral lunar eclipse
1564-11-28T09:00:49+00:00,Penumbral lunar eclipse
1564-12-27T21:15:52+00:00,Penumbral lunar eclipse
1565-05-25T04:40:32+00:00,Partial lunar eclipse
1565-11-18T00:23:05+00:00,Partial lunar eclipse
1566-05-14T05:06:13+00:00,Total lunar eclipse
1566-11-07T15:33:21+00:00,Total lunar eclipse
1567-05-03T09:18:04+00:00,Partial lunar eclipse
1567-10-28T01:58:18+00:00,Partial lunar eclipse
1568-03-23T11:43:43+00:00,Penumbral lunar eclipse
1568-04-21T20:38:18+00:00,Penumbral lunar eclipse
1568-09-16T12:07:49+00:00,Penumbral lunar eclipse
1569-03-13T04:05:24+00:00,Total lunar eclipse
1569-09-05T13:11:36+00:00,Partial lunar eclipse
1570-03-02T18:15:46+00:00,Total lunar eclipse
1570-08-25T20:43:50+00:00,Total lunar eclipse
1571-02-20T02:03:53+00:00,Penumbral lunar eclipse
1571-07-17T03:57:27+00:00,Penumbral lunar eclipse
1571-08-15T10:58:58+00:00,Partial lunar eclipse
1572-01-10T07:50:47+00:00,Penumbral lunar eclipse
1572-07-05T20:48:55+00:00,Partial lunar eclipse
1572-12-29T09:55:23+00:00,Partial lunar eclipse
1573-06-25T09:33:16+00:00,Total lunar eclipse
1573-12-18T19:15:32+00:00,Total lunar eclipse
1574-06-14T15:08:28+00:00,Partial lunar eclipse
1574-12-08T09:54:59+00:00,Partial lunar eclipse
1575-05-05T01:05:24+00:00,Penumbral lunar eclipse
1575-06-03T15:50:52+00:00,Penumbral lunar eclipse
1575-10-29T14:01:34+00:00,Penumbral lunar eclipse
1575-11-28T01:24:27+00:00,Penumbral lunar eclipse
1576-04-23T07:10:33+00:00,Partial lunar eclipse
1576-10-17T22:34:27+00:00,Partial lunar eclipse
1577-04-12T20:07:29+00:00,Total lunar eclipse
1577-10-07T00:15:22+00:00,Total lunar eclipse
1578-04-02T12:34:38+00:00,Partial lunar eclipse
1578-09-26T00:20:43+00:00,Partial lunar eclipse
1579-02-21T16:07:52+00:00,Penumbral lunar eclipse
1579-08-16T19:36:58+00:00,Penumbral lunar eclipse
1579-09-15T06:00:36+00:00,Penumbral lunar eclipse
1580-02-10T21:42:55+00:00,Total lunar eclipse
1580-08-05T11:09:13+00:00,Total lunar eclipse
1581-01-29T21:24:12+00:00,Total lunar eclipse
1581-07-26T04:12:31+00:00,Total lunar eclipse
1582-01-18T22:13:30+00:00,Partial lunar eclipse
1582-06-16T07:28:48+00:00,Penumbral lunar eclipse
1582-07-15T18:07:15+00:00,Penumbral lunar eclipse
1582-12-09T17:44:24+00:00,Penumbral lunar eclipse
1583-01-08T05:54:18+00:00,Penumbral lunar eclipse
1583-06-05T11:11:38+00:00,Partial lunar eclipse
1583-11-29T09:08:09+00:00,Partial lunar eclipse
1584-05-24T11:44:26+00:00,Total lunar eclipse
1584-11-18T00:03:43+00:00,Total lunar eclipse
1585-05-13T16:26:22+00:00,Partial lunar eclipse
1585-11-07T10:01:03+00:00,Partial lunar eclipse
1586-04-03T19:48:23+00:00,Penumbral lunar eclipse
1586-05-03T04:15:52+00:00,Penumbral lunar eclipse
1586-09-27T19:13:47+00:00,Penumbral lunar eclipse
1587-03-24T12:19:03+00:00,Total lunar eclipse
1587-09-16T20:24:21+00:00,Partial lunar eclipse
1588-03-13T02:22:51+00:00,Total lunar eclipse
1588-09-05T04:15:15+00:00,Total lunar eclipse
1589-03-02T09:56:06+00:00,Penumbral lunar eclipse
1589-08-25T18:39:40+00:00,Partial lunar eclipse
1590-01-20T15:52:36+00:00,Penumbral lunar eclipse
1590-07-17T04:09:11+00:00,Partial lunar eclipse
1591-01-09T18:18:37+00:00,Partial lunar eclipse
1591-07-06T16:28:45+00:00,Total lunar eclipse
1591-12-30T03:59:51+00:00,Total lunar eclipse
1592-06-24T21:39:27+00:00,Partial lunar eclipse
1592-12-18T18:46:14+00:00,Partial lunar eclipse
1593-05-15T07:54:30+00:00,Penumbral lunar eclipse
1593-06-13T22:19:06+00:00,Penumbral lunar eclipse
