datetime,event_type,duration_minutes,duration_seconds
1550-03-18T09:47:48+00:00,Annular solar eclipse,05,06
1550-09-10T20:17:38+00:00,Total solar eclipse,38,05
1551-03-07T10:05:18+00:00,Partial solar eclipse,,
1551-08-31T12:53:01+00:00,Total solar eclipse,52,02
1552-01-25T20:19:44+00:00,Partial solar eclipse,,
1552-07-21T15:03:48+00:00,Annular solar eclipse,05,02
1553-01-14T07:28:09+00:00,Total solar eclipse,41,02
1553-07-10T18:36:34+00:00,Annular solar eclipse,46,06
1554-01-03T22:49:38+00:00,Total solar eclipse,00,04
1554-06-29T19:10:40+00:00,Annular solar eclipse,22,04
1554-12-24T13:45:21+00:00,Total solar eclipse,25,00
1555-05-20T14:06:06+00:00,Partial solar eclipse,,
1555-06-19T00:07:16+00:00,Partial solar eclipse,,
1555-11-14T07:19:27+00:00,Partial solar eclipse,,
1556-05-09T04:53:36+00:00,Total solar eclipse,58,05
1556-11-02T07:22:13+00:00,Annular solar eclipse,24,10
1557-04-28T21:59:05+00:00,Total solar eclipse,42,05
1557-10-22T07:49:28+00:00,Annular solar eclipse,40,05
1558-04-18T12:39:27+00:00,Total solar eclipse,50,00
1558-10-11T14:58:55+00:00,Annular solar eclipse,12,00
1559-03-09T05:23:01+00:00,Partial solar eclipse,,
1559-09-01T20:13:59+00:00,Partial solar eclipse,,
1559-10-01T04:46:46+00:00,Partial solar eclipse,,
1560-02-26T05:00:44+00:00,Annular solar eclipse,22,07
1560-08-21T12:30:55+00:00,Total solar eclipse,45,03
1561-02-14T07:39:21+00:00,Annular solar eclipse,30,03
1561-08-11T00:27:07+00:00,Annular solar eclipse,27,00
1562-02-03T17:27:33+00:00,Total solar eclipse,41,00
1562-07-31T05:16:46+00:00,Partial solar eclipse,,
1562-12-25T21:58:40+00:00,Partial solar eclipse,,
1563-06-20T15:30:55+00:00,Annular solar eclipse,49,02
1563-12-15T11:55:49+00:00,Hybrid or annular/total solar eclipse,10,00
1564-06-08T22:26:49+00:00,Hybrid or annular/total solar eclipse,44,01
1564-12-03T19:52:06+00:00,Annular solar eclipse,42,06
1565-05-29T12:15:00+00:00,Total solar eclipse,57,05
1565-11-22T20:49:55+00:00,Annular solar eclipse,37,09
1566-04-19T21:56:01+00:00,Partial solar eclipse,,
1566-05-19T05:21:00+00:00,Partial solar eclipse,,
1566-10-13T03:59:23+00:00,Partial solar eclipse,,
1567-04-09T11:04:08+00:00,Hybrid or annular/total solar eclipse,11,00
1567-10-02T13:20:27+00:00,Total solar eclipse,42,01
1568-03-28T17:04:21+00:00,Annular solar eclipse,10,06
1568-09-21T04:25:02+00:00,Total solar eclipse,32,05
1569-03-17T17:21:18+00:00,Annular solar eclipse,,
1569-09-10T20:48:16+00:00,Total solar eclipse,55,02
1570-02-05T04:34:49+00:00,Partial solar eclipse,,
1570-08-01T22:00:22+00:00,Partial solar eclipse,,
1571-01-25T16:07:36+00:00,Total solar eclipse,59,02
1571-07-22T01:07:18+00:00,Annular solar eclipse,08,07
1572-01-15T07:38:12+00:00,Total solar eclipse,07,04
1572-07-10T01:42:42+00:00,Annular solar eclipse,30,04
1573-01-03T22:28:35+00:00,Hybrid or annular/total solar eclipse,20,00
1573-05-30T21:18:24+00:00,Partial solar eclipse,,
1573-06-29T07:03:36+00:00,Partial solar eclipse,,
1573-11-24T15:24:46+00:00,Partial solar eclipse,,
1574-05-20T12:25:42+00:00,Total solar eclipse,09,06
1574-11-13T15:12:17+00:00,Annular solar eclipse,03,11
1575-05-10T05:34:45+00:00,Total solar eclipse,56,05
1575-11-02T15:47:27+00:00,Annular solar eclipse,44,05
1576-04-28T20:04:44+00:00,Total solar eclipse,55,00
1576-10-21T23:13:06+00:00,Annular solar eclipse,08,00
1577-03-19T12:41:15+00:00,Partial solar eclipse,,
1577-09-12T04:15:23+00:00,Partial solar eclipse,,
1577-10-11T13:08:02+00:00,Partial solar eclipse,,
1578-03-08T12:26:52+00:00,Annular solar eclipse,01,07
1578-09-01T20:15:08+00:00,Total solar eclipse,17,03
1579-02-25T15:34:47+00:00,Annular solar eclipse,48,02
1579-08-22T07:41:32+00:00,Annular solar eclipse,00,01
1580-02-15T01:52:13+00:00,Total solar eclipse,07,01
1580-08-10T12:00:05+00:00,Partial solar eclipse,,
1581-01-05T06:49:58+00:00,Partial solar eclipse,,
1581-06-30T22:06:53+00:00,Partial solar eclipse,,
1581-12-25T20:35:20+00:00,Annular solar eclipse,04,00
1582-06-20T05:30:27+00:00,Total solar eclipse,59,01
1582-12-25T04:08:39+00:00,Annular solar eclipse,02,07
1583-06-19T19:39:32+00:00,Total solar eclipse,23,06
1583-12-14T04:48:39+00:00,Annular solar eclipse,03,10
1584-05-10T05:35:06+00:00,Partial solar eclipse,,
1584-06-08T12:52:25+00:00,Partial solar eclipse,,
1584-11-02T11:56:44+00:00,Partial solar eclipse,,
1585-04-29T18:28:58+00:00,Hybrid or annular/total solar eclipse,03,00
1585-10-22T21:33:25+00:00,Total solar eclipse,35,01
1586-04-19T00:10:09+00:00,Annular solar eclipse,12,06
1586-10-12T12:40:32+00:00,Total solar eclipse,23,05
1587-04-08T00:27:05+00:00,Annular solar eclipse,26,06
1587-10-02T04:51:25+00:00,Total solar eclipse,51,02
1588-02-26T12:42:31+00:00,Partial solar eclipse,,
1588-08-22T05:01:47+00:00,Partial solar eclipse,,
1589-02-15T00:42:20+00:00,Total solar eclipse,17,03
1589-08-11T07:41:04+00:00,Annular solar eclipse,25,07
1590-02-04T16:24:05+00:00,Total solar eclipse,17,04
1590-07-31T08:17:39+00:00,Annular solar eclipse,38,04
1591-01-25T07:09:22+00:00,Hybrid or annular/total solar eclipse,16,00
1591-06-21T04:28:43+00:00,Partial solar eclipse,,
1591-07-20T14:02:08+00:00,Partial solar eclipse,,
1591-12-15T23:33:56+00:00,Partial solar eclipse,,
1592-06-09T19:55:49+00:00,Total solar eclipse,11,06
1592-12-03T23:07:16+00:00,Annular solar eclipse,36,11
1593-05-30T13:07:31+00:00,Total solar eclipse,08,06
1593-11-22T23:52:06+00:00,Annular solar eclipse,47,05
1594-05-20T03:23:17+00:00,Total solar eclipse,58,00
1594-11-12T07:34:49+00:00,Annular solar eclipse,04,00
1595-04-09T19:50:05+00:00,Partial solar eclipse,,
1595-10-03T12:24:36+00:00,Partial solar eclipse,,
1595-11-01T21:36:53+00:00,Partial solar eclipse,,
1596-03-28T19:43:19+00:00,Annular solar eclipse,42,06
1596-09-22T04:07:03+00:00,Total solar eclipse,50,02
1597-03-17T23:22:39+00:00,Annular solar eclipse,08,02
1597-09-11T15:01:22+00:00,Annular solar eclipse,35,01
1598-03-07T10:10:01+00:00,Total solar eclipse,33,01
1598-08-31T18:48:48+00:00,Annular solar eclipse,,
1599-01-26T15:37:11+00:00,Partial solar eclipse,,
