datetime,event_type,all_day
1550-03-21T06:06:32+00:00,Vernal Equinox,True
1550-06-22T08:04:28+00:00,Summer Solstice,True
1550-09-23T18:47:10+00:00,Autumnal Equinox,True
1550-12-22T07:28:24+00:00,Winter Solstice,True
1551-03-21T11:55:12+00:00,Vernal Equinox,True
1551-06-22T13:56:44+00:00,Summer Solstice,True
1551-09-24T00:39:50+00:00,Autumnal Equinox,True
1551-12-22T13:25:30+00:00,Winter Solstice,True
1552-03-20T17:46:52+00:00,Vernal Equinox,True
1552-06-21T19:44:24+00:00,Summer Solstice,True
1552-09-23T06:30:10+00:00,Autumnal Equinox,True
1552-12-21T19:20:48+00:00,Winter Solstice,True
1553-03-20T23:38:42+00:00,Vernal Equinox,True
1553-06-22T01:33:00+00:00,Summer Solstice,True
1553-09-23T12:19:06+00:00,Autumnal Equinox,True
1553-12-22T01:00:22+00:00,Winter Solstice,True
1554-03-21T05:20:12+00:00,Vernal Equinox,True
1554-06-22T07:24:28+00:00,Summer Solstice,True
1554-09-23T18:16:27+00:00,Autumnal Equinox,True
1554-12-22T06:54:34+00:00,Winter Solstice,True
1555-03-21T11:16:53+00:00,Vernal Equinox,True
1555-06-22T13:14:32+00:00,Summer Solstice,True
1555-09-23T23:59:14+00:00,Autumnal Equinox,True
1555-12-22T12:41:41+00:00,Winter Solstice,True
1556-03-20T17:03:56+00:00,Vernal Equinox,True
1556-06-21T18:55:11+00:00,Summer Solstice,True
1556-09-23T05:46:03+00:00,Autumnal Equinox,True
1556-12-21T18:29:06+00:00,Winter Solstice,True
1557-03-20T22:39:38+00:00,Vernal Equinox,True
1557-06-22T00:39:56+00:00,Summer Solstice,True
1557-09-23T11:42:34+00:00,Autumnal Equinox,True
1557-12-22T00:27:11+00:00,Winter Solstice,True
1558-03-21T04:33:00+00:00,Vernal Equinox,True
1558-06-22T06:31:58+00:00,Summer Solstice,True
1558-09-23T17:22:32+00:00,Autumnal Equinox,True
1558-12-22T06:09:42+00:00,Winter Solstice,True
1559-03-21T10:20:54+00:00,Vernal Equinox,True
1559-06-22T12:14:50+00:00,Summer Solstice,True
1559-09-23T23:08:59+00:00,Autumnal Equinox,True
1559-12-22T12:01:34+00:00,Winter Solstice,True
1560-03-20T16:10:37+00:00,Vernal Equinox,True
1560-06-21T17:54:30+00:00,Summer Solstice,True
1560-09-23T04:56:06+00:00,Autumnal Equinox,True
1560-12-21T17:52:49+00:00,Winter Solstice,True
1561-03-20T22:03:02+00:00,Vernal Equinox,True
1561-06-21T23:41:00+00:00,Summer Solstice,True
1561-09-23T10:40:10+00:00,Autumnal Equinox,True
1561-12-21T23:30:57+00:00,Winter Solstice,True
1562-03-21T03:43:39+00:00,Vernal Equinox,True
1562-06-22T05:30:46+00:00,Summer Solstice,True
1562-09-23T16:30:28+00:00,Autumnal Equinox,True
1562-12-22T05:23:45+00:00,Winter Solstice,True
1563-03-21T09:37:12+00:00,Vernal Equinox,True
1563-06-22T11:22:11+00:00,Summer Solstice,True
1563-09-23T22:10:16+00:00,Autumnal Equinox,True
1563-12-22T11:12:04+00:00,Winter Solstice,True
1564-03-20T15:27:15+00:00,Vernal Equinox,True
1564-06-21T17:07:03+00:00,Summer Solstice,True
1564-09-23T03:55:50+00:00,Autumnal Equinox,True
1564-12-21T16:56:01+00:00,Winter Solstice,True
1565-03-20T21:04:33+00:00,Vernal Equinox,True
1565-06-21T22:53:24+00:00,Summer Solstice,True
1565-09-23T09:54:54+00:00,Autumnal Equinox,True
1565-12-21T22:50:38+00:00,Winter Solstice,True
1566-03-21T03:01:18+00:00,Vernal Equinox,True
1566-06-22T04:50:52+00:00,Summer Solstice,True
1566-09-23T15:43:05+00:00,Autumnal Equinox,True
1566-12-22T04:33:46+00:00,Winter Solstice,True
1567-03-21T08:51:13+00:00,Vernal Equinox,True
1567-06-22T10:37:40+00:00,Summer Solstice,True
